,source,target,retweetCount,hashtags
0,la_revoluzzion,usembassyguate,0,[]
1,la_revoluzzion,48cantonestoto,0,[]
2,la_revoluzzion,usaidguate,0,[]
3,la_revoluzzion,ueguatemala,0,[]
4,la_revoluzzion,barevalodeleon,0,[]
5,m24095273,ivanduque,0,[]
6,m24095273,barevalodeleon,0,[]
7,carlosalbesc,ivanduque,0,[]
8,carlosalbesc,barevalodeleon,0,[]
9,brenda_agn,barevalodeleon,0,[]
10,brenda_agn,karinherreravp,0,[]
11,brenda_agn,agn_noticias,0,[]
12,brenda_agn,congresoguate,0,[]
13,roberto28338166,barevalodeleon,0,[]
14,luisenr36669555,emisorasunidas,0,[]
15,luisenr36669555,barevalodeleon,0,[]
16,keratox1,ivanduque,0,[]
17,keratox1,barevalodeleon,0,[]
18,radio_tgw,karinherreravp,0,[]
19,radio_tgw,barevalodeleon,0,[]
20,corleone_62,mys_servicios,0,[]
21,corleone_62,barevalodeleon,0,[]
22,gtnewsagency,barevalodeleon,0,[]
23,guatemalagob,barevalodeleon,7,[]
24,brenda_agn,barevalodeleon,1,[]
25,brenda_agn,agn_noticias,1,[]
26,othmancgrstones,pedgar05,0,[]
27,othmancgrstones,barevalodeleon,0,[]
28,brenttgranth,mendiamariela,0,[]
29,brenttgranth,barevalodeleon,0,[]
30,reybet0,ivanduque,0,[]
31,reybet0,barevalodeleon,0,[]
32,diariodeca,barevalodeleon,1,['EnVivoDCA']
33,rafaeortega2,ivanduque,0,[]
34,rafaeortega2,barevalodeleon,0,[]
35,benitoc67601310,arronchopa,0,[]
36,benitoc67601310,barevalodeleon,0,[]
37,licigir21,guatemalagob,0,[]
38,licigir21,barevalodeleon,0,[]
39,othmancgrstones,pedgar05,0,[]
40,othmancgrstones,barevalodeleon,0,[]
41,copresamoficial,barevalodeleon,0,[]
42,guatemalagob,barevalodeleon,7,[]
43,fernandochang95,guatemalagob,0,[]
44,fernandochang95,barevalodeleon,0,[]
45,fernandochang95,rocasgt,0,[]
46,aurarod18533431,elquenews,0,[]
47,aurarod18533431,bancadasemilla,0,[]
48,aurarod18533431,barevalodeleon,0,[]
49,aurarod18533431,avillagran502,0,[]
50,benitoc67601310,barevalodeleon,0,[]
51,scepgt,barevalodeleon,0,[]
52,un_tal_puyol,ivanduque,0,[]
53,un_tal_puyol,barevalodeleon,0,[]
54,benitoc67601310,elquenews,0,[]
55,benitoc67601310,barevalodeleon,0,[]
56,taga07_,barevalodeleon,0,[]
57,pablvito,benitoc67601310,0,[]
58,pablvito,barevalodeleon,0,[]
59,benitoc67601310,anti_chairosgt,0,[]
60,benitoc67601310,elquenews,0,[]
61,benitoc67601310,guatemalagob,0,[]
62,benitoc67601310,barevalodeleon,0,[]
63,scspgt,barevalodeleon,0,[]
64,guatv_,barevalodeleon,0,[]
65,benitoc67601310,barevalodeleon,0,[]
66,benitoc67601310,pablvito,0,[]
67,benitoc67601310,barevalodeleon,0,[]
68,javierr07772901,alfredo93672277,0,[]
69,javierr07772901,wuatemalteco,0,[]
