,source,target,retweetCount,hashtags
0,monymmorales,cc_guatemala,56,[]
1,animaldgalaccia,pncdeguatemala,0,[]
2,animaldgalaccia,mingobguate,0,[]
3,animaldgalaccia,fjimenezmingob,0,[]
4,animaldgalaccia,diegoedeleon,0,[]
5,animaldgalaccia,amilcarmontejo,0,[]
6,animaldgalaccia,traficogt,0,[]
7,estaciondoblea,amilcarmontejo,0,[]
8,estaciondoblea,aztecanoticiagt,0,[]
9,estaciondoblea,bancadasemilla,0,[]
10,estaciondoblea,barevalodeleon,0,[]
11,estaciondoblea,diputadojp,0,[]
12,estaciondoblea,emisorasunidas,0,[]
13,estaciondoblea,ep_investiga,0,[]
14,estaciondoblea,impactonoticigt,0,[]
15,estaciondoblea,lahoragt,0,[]
16,estaciondoblea,mingobguate,0,[]
17,estaciondoblea,prensacomunitar,0,[]
18,estaciondoblea,transito_mixco,0,[]
19,estaciondoblea,dgtguate,0,[]
20,estaciondoblea,pmt_villanueva,0,[]
21,estaciondoblea,infotransitogt,0,[]
22,estaciondoblea,traficogt,0,[]
23,estaciondoblea,pmt_sanjuansac,0,[]
24,estaciondoblea,pmtsanlucassac,0,[]
25,estaciondoblea,yenerplaza,0,[]
26,cubreserva,soy_502,0,[]
27,cubreserva,aztecanoticiagt,0,[]
28,cubreserva,conapgt,0,[]
29,cubreserva,denunciaempagua,0,[]
30,cubreserva,muniguate,0,[]
31,cubreserva,guatemalagob,0,[]
32,cubreserva,guatevision_tv,0,[]
33,cubreserva,pattyo502,0,[]
34,cubreserva,karinapazgt,0,[]
35,cubreserva,josechic86,0,[]
36,cubreserva,vecinosz16,0,[]
37,cubreserva,traficogt,0,[]
38,cubreserva,emisorasunidas,0,[]
39,cubreserva,ep_investiga,0,[]
40,cubreserva,isapaiz_,0,[]
41,alejandro2024gt,amilcarmontejo,0,[]
42,alejandro2024gt,pmtmuniguate,0,[]
43,alejandro2024gt,noti7guatemala,0,[]
44,alejandro2024gt,nuestrodiario,0,[]
45,alejandro2024gt,t13noticias,0,[]
46,alejandro2024gt,aztecaguate,0,[]
47,alejandro2024gt,traficogt,0,[]
48,julyponce21,traficogt,0,"['urgente', 'Desaparecido']"
49,julyponce21,amilcarmontejo,0,"['urgente', 'Desaparecido']"
50,julyponce21,pncdeguatemala,0,"['urgente', 'Desaparecido']"
51,cubreserva,traficogt,1,[]
52,cubreserva,_ojoconmipisto,1,[]
53,cubreserva,soy_502,1,[]
54,cubreserva,aztecanoticiagt,1,[]
55,cubreserva,aztecanoticiagt,1,[]
56,cubreserva,muniguate,1,[]
57,cubreserva,conapgt,1,[]
58,cubreserva,denunciaempagua,1,[]
59,cubreserva,emisorasunidas,1,[]
60,cubreserva,ep_investiga,1,[]
61,cubreserva,luisvengt,1,[]
62,cubreserva,samuel_pz,1,[]
63,cubreserva,josechic86,1,[]
64,cubreserva,ciudadcayala,1,[]
65,cubreserva,marnguate,1,[]
66,cubreserva,karinapazgt,1,[]
67,cubreserva,vecinosz16,1,[]
68,alexdel92022343,piero_coen,0,[]
69,alexdel92022343,fjimenezmingob,0,[]
70,alexdel92022343,traficogt,0,[]
71,alexdel92022343,mingobguate,0,[]
72,alexdel92022343,pncdeguatemala,0,[]
73,alexdel92022343,diariodeca,0,[]
74,alexdel92022343,agn_noticias,0,[]
75,alexdel92022343,radio_tgw,0,[]
76,alexdel92022343,guatemalagob,0,[]
77,bullgarrafuerte,erwin_fern84019,0,[]
78,bullgarrafuerte,piero_coen,0,[]
79,bullgarrafuerte,fjimenezmingob,0,[]
80,bullgarrafuerte,traficogt,0,[]
81,bullgarrafuerte,mingobguate,0,[]
82,bullgarrafuerte,pncdeguatemala,0,[]
83,bullgarrafuerte,diariodeca,0,[]
84,bullgarrafuerte,agn_noticias,0,[]
